Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor,PreReqs
CHEM102010,LEC,General Chemistry,NEWRK,3 Hrs,MWF,12:20PM - 1:10PM,Feb 7 - May 17,"Chatellier,Dana Stewart","{'required': {'CHEM101': 'false', 'CHEM131': 'false'}}"
CHEM103010,LEC,General Chemistry,NEWRK,3 Hrs,TR,9:30AM - 10:45AM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM103011,LEC,General Chemistry,NEWRK,3 Hrs,TR,11:00AM - 12:15PM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM103020D,DIS,General Chemistry,NEWRK,3 Hrs,W,6:30PM - 8:30PM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM103021D,DIS,General Chemistry,NEWRK,3 Hrs,W,6:30PM - 8:30PM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM103022D,DIS,General Chemistry,NEWRK,3 Hrs,W,6:30PM - 8:30PM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM103023D,DIS,General Chemistry,NEWRK,3 Hrs,W,6:30PM - 8:30PM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM103024D,DIS,General Chemistry,NEWRK,3 Hrs,W,6:30PM - 8:30PM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM103025D,DIS,General Chemistry,NEWRK,3 Hrs,W,6:30PM - 8:30PM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM103030D,DIS,General Chemistry,NEWRK,3 Hrs,W,6:30PM - 8:30PM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM103031D,DIS,General Chemistry,NEWRK,3 Hrs,W,6:30PM - 8:30PM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM103032D,DIS,General Chemistry,NEWRK,3 Hrs,W,6:30PM - 8:30PM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM103033D,DIS,General Chemistry,NEWRK,3 Hrs,W,6:30PM - 8:30PM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM103034D,DIS,General Chemistry,NEWRK,3 Hrs,W,6:30PM - 8:30PM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM103035D,DIS,General Chemistry,NEWRK,3 Hrs,W,6:30PM - 8:30PM,Feb 7 - May 17,"Genova,Lauren Alexa",{}
CHEM103070,LEC,General Chemistry,NEWRK,3 Hrs,TBD,,Feb 7 - May 17,"Toole,Ruth A",{}
CHEM103710,LEC,General Chemistry,WILM,3 Hrs,TR,11:00AM - 12:15PM,Feb 7 - May 17,"Kucharczyk,Robin R",{}
CHEM104050,LEC,General Chemistry,NEWRK,3 Hrs,MW ,8:40AM - 9:55AM ,Feb 7 - May 17 ,"Compton,Shara Kathleen",{'required': {}}
CHEM104060,LEC,General Chemistry,NEWRK,3 Hrs,TR ,8:00AM - 9:15AM ,Feb 7 - May 17 ,"Compton,Shara Kathleen",{'required': {}}
CHEM104071,LEC,General Chemistry,NEWRK,3 Hrs,TBD,,Feb 7 - May 17,"Toole,Ruth A",{'required': {}}
CHEM104080D,DIS,General Chemistry,NEWRK,3 Hrs,M,1:25PM - 2:15PM,Feb 7 - May 17,"Compton,Shara Kathleen",{'required': {}}
CHEM104080,LEC,General Chemistry,NEWRK,3 Hrs,TR,11:00AM - 12:15PM,Feb 7 - May 17,"Compton,Shara Kathleen",{'required': {}}
CHEM104081D,DIS,General Chemistry,NEWRK,3 Hrs,M,3:35PM - 4:25PM,Feb 7 - May 17,"Compton,Shara Kathleen",{'required': {}}
CHEM104082D,DIS,General Chemistry,NEWRK,3 Hrs,M,3:35PM - 4:25PM,Feb 7 - May 17,"Compton,Shara Kathleen",{'required': {}}
CHEM104084,LEC,General Chemistry,NEWRK,3 Hrs,TR,11:00AM - 12:15PM,Feb 7 - May 17,"Fajardo PhD,Jacqueline L.",{'required': {}}
CHEM104084D,DIS,General Chemistry,NEWRK,3 Hrs,R,6:30PM - 8:30PM,Feb 7 - May 17,"Fajardo PhD,Jacqueline L.",{'required': {}}
CHEM104085D,DIS,General Chemistry,NEWRK,3 Hrs,R,6:30PM - 8:30PM,Feb 7 - May 17,"Fajardo PhD,Jacqueline L.",{'required': {}}
CHEM104085D,DIS,General Chemistry,NEWRK,3 Hrs,R,6:30PM - 8:30PM,Feb 7 - May 17,"Fajardo PhD,Jacqueline L.",{'required': {}}
CHEM104085,LEC,General Chemistry,NEWRK,3 Hrs,TR,11:00AM - 12:15PM,Feb 7 - May 17,"Fajardo PhD,Jacqueline L.",{'required': {}}
CHEM104110,LEC,General Chemistry,NEWRK,3 Hrs,TR ,12:30PM - 1:45PM ,Feb 7 - May 17 ,"Daly,Trevor Alan",{'required': {}}
CHEM104111,LEC,General Chemistry,NEWRK,3 Hrs,TR ,8:00AM - 9:15AM ,Feb 7 - May 17 ,"Fajardo PhD,Jacqueline L.",{'required': {}}
CHEM104112,LEC,General Chemistry,NEWRK,3 Hrs,TR ,11:00AM - 12:15PM ,Feb 7 - May 17 ,"Daly,Trevor Alan",{'required': {}}
CHEM104114,LEC,General Chemistry,NEWRK,3 Hrs,TR ,11:00AM - 12:15PM ,Feb 7 - May 17 ,"Daly,Trevor Alan",{'required': {}}
CHEM104115,LEC,General Chemistry,NEWRK,3 Hrs,TR ,8:00AM - 9:15AM ,Feb 7 - May 17 ,"Fajardo PhD,Jacqueline L.",{'required': {}}
CHEM104116,LEC,General Chemistry,NEWRK,3 Hrs,TR ,11:00AM - 12:15PM ,Feb 7 - May 17 ,"Daly,Trevor Alan",{'required': {}}
CHEM104117,LEC,General Chemistry,NEWRK,3 Hrs,TR ,12:30PM - 1:45PM ,Feb 7 - May 17 ,"Daly,Trevor Alan",{'required': {}}
CHEM104120,LEC,General Chemistry,NEWRK,3 Hrs,TR ,12:30PM - 1:45PM ,Feb 7 - May 17 ,"Daly,Trevor Alan",{'required': {}}
CHEM104121,LEC,General Chemistry,NEWRK,3 Hrs,TR ,8:00AM - 9:15AM ,Feb 7 - May 17 ,"Fajardo PhD,Jacqueline L.",{'required': {}}
